state,county,gisjoin,pop_enslaved_1860,pop_total_1860,pop_total_2010,pop_black_2010,pop_white_2010,income_black_2010,income_white_2010,pct_pop_enslaved_1860,had_rosenwald_school
North Carolina,Haywood,G3700870,313,5801,59036,624,56405,41607,41840,5.39562144457852,1
North Carolina,Henderson,G3700890,1382,10448,106740,3224,94914,37351,47420,13.2274119448698,1
North Carolina,Hertford,G3700910,4445,9504,24669,14933,8786,24270,40663,46.7697811447811,1
North Carolina,Hyde,G3700950,2791,7732,5810,1836,3718,14243,47460,36.0967408173823,1
North Carolina,Iredell,G3700970,4177,15347,159437,19047,128646,31851,53406,27.2170456766795,1
North Carolina,Jackson,G3700990,268,5515,40271,745,33489,30435,40669,4.85947416137806,1
North Carolina,Johnston,G3701010,4916,15656,168878,25546,125349,31608,53862,31.4001021972407,1
North Carolina,Jones,G3701030,3413,5730,10153,3289,6395,28353,42980,59.5636998254799,1
North Carolina,Lenoir,G3701070,5140,10220,59495,24121,31758,25240,43479,50.293542074364,1
North Carolina,Lincoln,G3701090,2115,8195,78265,4340,69940,25344,49110,25.8084197681513,1
North Carolina,Macon,G3701130,519,6004,33922,447,31811,25362,38903,8.64423717521652,1
North Carolina,Madison,G3701150,213,5908,20764,240,20035,70227,38561,3.60528097494922,1
North Carolina,Martin,G3701170,4309,10195,24505,10651,13019,25651,41796,42.2658165767533,1
North Carolina,McDowell,G3701110,1305,7120,44996,1708,40754,32721,35435,18.3286516853933,1
North Carolina,Mecklenburg,G3701190,6541,17374,919628,282804,508946,40308,67206,37.6482099689191,1
North Carolina,Montgomery,G3701230,1823,7649,27798,5231,19162,18911,37800,23.8331808079488,1
North Carolina,Moore,G3701250,2518,11427,88247,11839,70913,25417,53045,22.0355298853592,1
North Carolina,Nash,G3701270,4680,11687,95840,35650,53531,34532,51941,40.0444938820912,1
North Carolina,New Hanover,G3701290,10331,21715,202667,29907,160298,25621,53104,47.5754087036611,1
North Carolina,Northampton,G3701310,6804,13372,22099,12895,8668,24451,41566,50.8824409213282,1
North Carolina,Onslow,G3701330,3499,8856,177772,27672,131590,35990,45851,39.5099367660343,1
North Carolina,Orange,G3701350,5108,16947,133801,15928,99495,30799,61546,30.1410279105446,1
North Carolina,Pasquotank,G3701390,2983,8940,40661,15355,23059,31803,55702,33.3668903803132,1
North Carolina,Perquimans,G3701430,3558,7238,13453,3347,9694,19469,51326,49.1572257529704,1
North Carolina,Person,G3701450,5195,11221,39464,10646,26968,35421,50439,46.2971214686748,1
North Carolina,Pitt,G3701470,8473,16080,168148,57257,99075,27284,46318,52.6927860696517,1
North Carolina,Polk,G3701490,620,4043,20510,918,18633,33031,43982,15.3351471679446,1
North Carolina,Randolph,G3701510,1645,16793,141752,8176,121169,29589,42075,9.79574822842851,1
North Carolina,Richmond,G3701530,5453,11009,46639,14269,28072,20810,34866,49.5322009265147,1
North Carolina,Robeson,G3701550,5455,15489,134168,32637,38877,22196,37107,35.2185421912325,1
North Carolina,Rockingham,G3701570,6318,16746,93643,17655,70875,29625,42548,37.7284127552848,1
North Carolina,Rowan,G3701590,3930,14589,138428,22392,105923,28507,48182,26.9381040509973,1
North Carolina,Rutherford,G3701610,2391,11573,67810,6854,58221,18552,37165,20.660157262594,1
North Carolina,Sampson,G3701630,7028,16624,63431,17128,35985,25733,45139,42.2762271414822,1
North Carolina,Stanly,G3701670,1169,7801,60585,6630,50623,29468,48032,14.9852583002179,1
North Carolina,Stokes,G3701690,2469,10402,47401,1916,44021,36434,43674,23.7358200346087,1
North Carolina,Surry,G3701710,1246,10380,73673,2749,64926,24396,38179,12.0038535645472,1
North Carolina,Tyrrell,G3701770,1597,4944,4407,1683,2403,16414,39176,32.3017799352751,1
North Carolina,Union,G3701790,2246,11202,201292,23558,158954,41985,67043,20.0499910730227,1
North Carolina,Wake,G3701830,10733,28627,900993,186510,597546,41415,72992,37.4925769378559,1
